city,load,price,city,load,price,city,load,price
T'bilisi,Wheat,40,Krasnoyarsk,Tobacco,65,Odessa,Vodka,53
Moskva,Furs,12,Kobenhavn,Tobacco,27,Warsawa,Salt,48
Baku,Tractors,14,Athinai,Gold,58,Tabriz,Tobacco,26
Volgograd,Salt,24,Shashe,Tobacco,57,Nizhniy Novgorad,Fish,13
Tehran,Cattle,31,T'bilisi,Sheep,13,Mashad,Fruit,12
Samara,Furs,22,Tashkent,Ships,32,Istanbul,Rice,42
Tashkent,Tobacco,43,Volgograd,Copper,14,Warsawa,Ships,9
Perm,Rugs,35,Arkhangelsk,Fruit,36,Volgograd,Vodka,37
Athinai,Amber,27,Astrakhan,Potatoes,22,Nizhniy Novgorad,Salt,32
Tehran,Paper,47,Ankara,Machinery,15,Perm,Cheese,29
Yekaterinburg,Cattle,30,Wien,Furs,31,Istanbul,Machinery,14
Athinai,Glass,25,Kharkov,Tobacco,10,Tabriz,Wheat,41
Tashkent,Cattle,10,Kharkov,Fish,10,Baku,Cheese,37
Kharkov,Olives,16,Shashe,Wheat,8,Praha,Caviar,33
Munchen,Terrorists,33,Tabriz,Horses,40,Kobenhavn,Fish,21
Nizhniy Novgorad,Bauxite,12,Arkhangelsk,Copper,15,Moskva,Wine,21
Sevastotpol,Steel,21,Sofiya,Fish,8,Nizhniy Novgorad,Cotton,28
Istanbul,Bauxite,12,Minsk,Rice,47,Novasibirsk,Olives,49
Baku,Horses,34,Novasibirsk,Terrorists,69,Moskva,Oil,11
Warsawa,Paper,11,Volgograd,Cotton,21,Omsk,Rice,23
Helsinki,Olives,35,Tabriz,Bauxite,37,Alma Ata,Vodka,22
Tashkent,Terrorists,43,Bayrut,Bauxite,28,Athinai,Vodka,81
Ufa,Textiles,14,Munchen,Cattle,14,Nizhniy Novgorad,Glass,24
Praha,Amber,9,Warsawa,Olives,21,Ufa,Cars,9
Stockholm,Caviar,41,Kharkov,Cotton,16,Budapest,Gold,42
Wien,Vodka,61,Baghdad,Furs,49,Budapest,Textiles,12
Tehran,Gold,37,Moskva,Rugs,23,Tabriz,Potatoes,30
Omsk,Furs,17,Bayrut,Textiles,10,Vilnius,Gold,29
Athinai,Cars,24,Odessa,Bauxite,12,Omsk,Olives,38
Minsk,Vodka,42,Astrakhan,Textiles,16,Yerevan,Paper,36
Berlin,Copper,8,Tehran,Tobacco,33,T'bilisi,Potatoes,25
Shashe,Paper,34,St Peterburg,Cheese,11,Omsk,Copper,9
Tashkent,Fish,25,Arkhangelsk,Horses,55,Vilnius,Fruit,17
T'bilisi,Tobacco,24,Ufa,Potatoes,22,Sevastopol,Amber,22
Chelyabinsk,Fish,23,Riga,Oil,10,Tashkent,Furs,31
Berlin,Steel,44,Praha,Tractors,25,Omsk,Ships,21
Kharkov,Glass,21,Istanbul,Cars,18,Astrakhan,Cattle,26
Kobenhavn,Copper,13,Rostov,Horses,43,Arkhangelsk,Oil,17
Istanbul,Glass,19,Kobenhavn,Furs,27,Shashe,Cars,45
Bucuresti,Machinery,12,Tallinn,Furs,14,Stockholm,Tobacco,34
Bucuresti,Rice,47,Tehran,Cotton,22,Wien,Ships,12
Kobenhavn,Cattle,15,Budapest,Caviar,30,Arkhangelsk,Cars,12
Samara,Steel,19,Athinai,Sheep,10,Kiyev,Machinery,11
Mashad,Gold,36,Chelyabinsk,Paper,27,Tehran,Cheese,47
Baghdad,Rice,34,Nizhniy Novgorad,Amber,17,Perm,Wheat,29
Tabriz,Cotton,23,Sofiya,Machinery,18,Minsk,Tobacco,13
Baku,Potatoes,28,Chelyabinsk,Cattle,30,Yekaterinburg,Rugs,36
Riga,Rugs,24,Shashe,Fish,35,Munchen,Paper,22
Shashe,Olives,41,Tehran,Rugs,9,Istanbul,Paper,28
Bayrut,Vodka,66,Novasibirsk,Wine,46,Astrakhan,Amber,25
Stockholm,Oil,18,Arkhangelsk,Textiles,13,Mashad,Paper,43
Istanbul,Tractors,15,Bucuresti,Wheat,12,Tashkent,Olives,32
Krasnoyarsk,Copper,27,Kiyev,Glass,15,Yerevan,Tobacco,23
Rostov,Fish,8,Bucuresti,Sheep,10,Berlin,Olives,25
Praha,Tobacco,12,Kharkov,Potatoes,11,Tabriz,Vodka,49
Shashe,Amber,68,Kobenhavn,Wine,17,Vilnius,Steel,32
Bayrut,Furs,48,Minsk,Salt,42,Sevastopol,Wheat,24
Tehran,Copper,14,Helsinki,Cattle,13,Moskva,Rice,39
Krasnoyarsk,Potatoes,52,Arkhangelsk,Tractors,25,Munchen,Tobacco,15
Kharkov,Paper,19,Arkhangelsk,Tobacco,27,Munchen,Machinery,23
Wien,Salt,57,Samara,Copper,15,Shashe,Vodka,29
Shashe,Rice,10,Volgograd,Coal,20,Istanbul,Salt,40
Omsk,Steel,38,Wien,Rice,61,Volgograd,Sheep,19
Volgograd,Textiles,13,Istanbul,Caviar,20,Tehran,Coal,22
