0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
h,h,m,h,h,m,m,cAristoteles,a,m,m,cLinné,m,a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,b,,,,,,
b,h,h,h,h,h,m,h,h,a,a,m,m,a,m,m,h,h,m,h,h,h,h,h,h,h,h,m,h,h,h,h,h,h,b,,,,,,
h,h,cBarrow,h,h,m,h,a,a,m,m,a,a,h,m,m,m,h,h,m,h,h,h,m,h,m,h,h,h,h,h,h,h,ccScott,b,,,,,,
cPeary,h,m,h,m,m,m,a,m,m,h,m,m,a,h,h,h,m,h,m,h,cArzachel,m,m,m,h,h,m,h,h,h,h,h,ccScott,ccScott,,,,,,
h,h,h,h,h,m,h,m,h,m,m,cArchimedes,h,a,m,m,m,h,h,h,h,h,m,h,m,h,h,h,h,h,h,h,h,ccScott,b,,,,,,
b,h,h,h,h,m,h,cPlato,m,m,m,m,h,m,a,m,m,m,h,m,m,m,m,h,h,h,cTycho,h,h,m,h,h,h,h,b,,,,,,
h,h,h,h,m,m,a,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,h,h,h,h,m,cClavius,h,h,h,h,b,,,,,,
h,h,h,h,m,m,a,m,m,m,m,m,m,m,a,cCopernicus,h,h,h,m,m,m,m,m,h,h,h,m,h,m,m,m,m,h,b,,,,,,
b,h,h,h,h,m,m,h,ccSinus Iridum,ccSinus Iridum,m,h,m,m,a,m,m,m,m,m,h,h,m,h,m,h,h,h,h,h,h,h,h,b,b,,,,,,
b,h,h,h,h,h,m,h,ccSinus Iridum,ccSinus Iridum,ccSinus Iridum,m,m,m,a,m,m,m,m,m,m,h,m,m,h,m,h,h,h,h,h,h,h,m,b,,,,,,
b,h,h,h,h,m,m,a,ccSinus Iridum,ccSinus Iridum,a,m,m,m,m,m,m,m,m,m,m,ccMare Humorum,ccMare Humorum,h,m,h,h,m,h,h,h,h,h,b,b,,,,,,
b,b,h,h,h,h,m,h,a,a,a,m,m,m,m,m,h,m,m,h,m,ccMare Humorum,ccMare Humorum,ccMare Humorum,h,h,h,m,h,h,m,m,h,b,b,,,,,,
b,b,h,h,m,h,m,m,h,m,m,m,m,m,m,m,m,m,m,m,h,ccMare Humorum,ccMare Humorum,h,m,h,h,h,h,m,m,m,b,b,b,,,,,,
b,b,b,h,cPythagoras,h,m,m,h,m,m,m,cAristarchus,m,m,h,m,m,m,m,h,h,h,h,m,h,h,h,h,h,m,m,b,b,b,,,,,,
b,b,b,h,m,h,m,m,m,m,m,h,h,m,m,m,h,cOceanus,m,h,h,m,h,h,m,m,m,h,h,h,m,b,b,b,b,,,,,,
b,b,b,b,h,h,m,m,m,m,m,m,m,m,m,m,m,m,m,h,h,h,h,h,h,m,cSchickard,m,m,h,h,b,b,b,b,,,,,,
b,b,b,b,h,h,m,m,m,m,m,m,m,m,m,m,m,m,h,h,h,h,h,h,h,m,m,m,h,h,b,b,b,b,b,,,,,,
b,b,b,b,b,h,h,cSinus Roris,m,m,m,m,m,m,m,m,m,h,h,h,h,h,h,h,h,h,h,m,h,h,b,b,b,b,b,,,,,,
b,b,b,b,b,b,h,h,m,m,m,m,m,m,m,m,h,h,h,h,h,m,h,m,m,h,h,h,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,h,h,m,m,m,m,m,m,m,h,h,m,a,a,a,a,a,h,h,h,h,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,b,h,h,m,cRussell,m,m,m,h,h,cGrimaldi,a,m,m,m,m,a,h,h,b,b,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,b,b,b,h,h,h,h,h,h,h,h,a,m,h,h,h,m,a,b,b,b,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,b,b,b,b,h,h,h,h,h,h,a,m,h,m,m,h,b,b,b,b,b,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,h,h,a,m,h,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,,,,,,
FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,FarSide,,,,,,
b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,h,h,a,m,h,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,b,b,b,b,h,h,h,h,h,h,a,m,h,m,cOrientale,h,b,b,b,b,b,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,b,b,b,h,h,h,h,h,h,h,h,a,cLowell,h,h,h,m,a,b,b,b,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,b,h,cLorentz,h,m,h,h,h,h,h,h,a,m,m,m,m,a,h,h,b,b,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,h,h,h,m,m,h,h,h,h,h,h,h,a,a,a,a,a,h,h,h,h,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,h,h,h,h,h,h,h,h,h,h,cMichelson,h,h,h,h,h,h,h,h,h,h,h,h,h,h,b,b,b,b,b,,,,,,
b,b,b,b,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,m,h,h,b,b,b,b,b,,,,,,
b,b,b,b,h,h,h,h,h,h,h,h,h,h,h,h,ccHertzsprung,ccHertzsprung,h,h,h,h,h,h,h,h,h,h,h,h,h,b,b,b,b,,,,,,
b,b,b,h,h,h,h,h,h,h,h,h,h,h,h,ccHertzsprung,ccHertzsprung,ccHertzsprung,h,h,h,h,h,h,h,h,h,h,h,h,h,b,b,b,b,,,,,,
b,b,b,h,h,h,h,h,h,h,h,h,h,h,h,h,ccHertzsprung,ccHertzsprung,h,h,h,h,h,h,h,h,h,h,h,h,h,h,b,b,b,,,,,,
b,b,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,m,m,h,h,h,h,h,m,h,b,b,b,,,,,,
b,b,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,b,b,,,,,,
b,h,h,h,m,m,cCarnot,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,m,m,m,h,h,h,h,h,h,h,b,b,,,,,,
b,h,h,h,m,m,m,h,h,h,h,h,h,h,cMach,h,h,,m,m,h,h,h,m,m,m,cApollo,h,h,h,h,h,h,h,b,,,,,,
b,h,h,h,m,m,h,h,h,h,h,h,h,h,h,h,m,m,m,h,h,h,h,m,m,m,h,m,m,h,h,h,h,b,b,,,,,,
b,h,h,h,m,h,m,h,h,cKulik,h,h,h,h,h,h,h,m,m,h,h,h,h,h,m,h,h,h,m,h,h,h,h,h,b,,,,,,
h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,m,m,h,m,m,m,h,h,h,h,h,b,,,,,,
b,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,b,,,,,,
m,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,m,h,h,h,h,h,h,h,h,ccScott,ccScott,,,,,,
cPeary,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,cDaedalus,h,h,h,h,m,h,m,m,h,h,h,h,h,h,ccScott,ccScott,,,,,,
h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,m,h,h,cVan de Graaff,h,m,m,m,h,h,h,h,h,ccScott,ccScott,,,,,,
b,h,h,h,h,m,m,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,ccMare Ingenii,ccMare Ingenii,m,h,m,h,h,h,h,h,b,,,,,,
h,h,h,h,m,cD'Alembert,m,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,ccMare Ingenii,ccMare Ingenii,ccMare Ingenii,h,m,m,h,h,cLyman,h,h,b,,,,,,
b,h,h,h,h,m,m,h,m,m,h,ccMare Mosvoviense,ccMare Mosvoviense,h,h,h,h,h,h,h,h,h,h,h,ccMare Ingenii,ccMare Ingenii,h,h,m,h,h,h,h,h,b,,,,,,
b,h,h,h,h,h,h,m,m,h,ccMare Mosvoviense,ccMare Mosvoviense,ccMare Mosvoviense,h,h,h,h,h,h,h,cGagarin,m,h,h,h,h,h,h,h,h,h,h,h,b,b,,,,,,
b,h,h,h,h,h,h,h,m,h,h,ccMare Mosvoviense,ccMare Mosvoviense,m,h,h,h,h,h,h,m,m,m,h,h,cVerne,h,h,h,h,h,h,h,h,b,,,,,,
b,h,h,h,h,h,h,h,h,h,h,m,m,h,h,m,m,h,h,h,m,m,h,h,h,h,h,h,h,h,h,h,h,b,b,,,,,,
b,b,h,m,m,h,h,h,h,h,h,h,h,h,h,m,m,m,h,h,h,h,h,h,cPavlov,h,h,m,m,h,m,m,h,b,b,,,,,,
b,b,m,h,h,h,h,h,h,h,h,h,h,h,h,m,h,h,h,h,h,h,h,h,h,m,m,m,cPlanck,m,m,m,b,b,b,,,,,,
b,b,b,m,m,h,h,h,h,h,h,h,h,h,m,h,h,h,h,h,h,h,h,h,h,h,h,m,m,h,m,m,b,b,b,,,,,,
b,b,b,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,m,m,h,h,h,h,h,h,h,h,h,b,b,b,b,,,,,,
b,b,b,b,h,h,h,h,h,cWells,h,h,h,h,h,h,h,h,h,h,m,cTsiolkvskiy,m,h,h,h,h,h,h,h,h,b,b,b,b,,,,,,
b,b,b,b,m,h,h,h,h,h,h,h,h,h,h,h,h,cBecvar,h,h,m,m,h,h,h,h,h,h,h,m,b,b,b,b,b,,,,,,
b,b,b,b,b,h,m,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,m,m,m,b,b,b,b,b,,,,,,
b,b,b,b,b,b,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,m,m,m,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,h,m,m,h,h,h,h,cFleming,h,h,h,h,h,h,h,h,h,m,h,m,m,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,b,h,h,h,m,h,h,h,h,h,h,h,h,h,h,h,m,m,m,b,b,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,b,b,b,h,h,cJoliot,m,h,h,h,h,h,h,h,h,h,m,m,b,b,b,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,b,b,b,b,h,h,m,m,h,m,m,h,h,h,h,h,b,b,b,b,b,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,h,m,m,m,h,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,,,,,,
